parent	category	uri	wiki
	Plant-based foods and beverages	/category/plant-based-foods-and-beverages	
Plant-based foods and beverages	Plant-based beverages	/category/plant-based-beverages	
Plant-based beverages	Coconut waters	/category/coconut-waters	Q633401
Plant-based beverages	Fruit-based beverages	/category/fruit-based-beverages	
Fruit-based beverages	Beverages with orange	/category/beverages-with-orange	
Fruit-based beverages	Fruit and milk juices	/category/fruit-and-milk-juices	
Fruit-based beverages	Fruit juices and nectars	/category/fruit-juices-and-nectars	
Fruit juices and nectars	Fruit juices	/category/fruit-juices	
Fruit juices	Apple juices	/category/apple-juices	Q618355
Apple juices	Concentrated apple juices	/category/concentrated-apple-juices	
Apple juices	Refrigerated squeezed apple juices	/category/refrigerated-squeezed-apple-juices	
Apple juices	Squeezed apple juices	/category/squeezed-apple-juices	
Fruit juices	Apricot juices	/category/apricot-juices	Q3337673
Apricot juices	Concentrated apricot juices	/category/concentrated-apricot-juices	
Fruit juices	Blueberry juices	/category/blueberry-juices	
Blueberry juices	Concentrated blueberry juices	/category/concentrated-blueberry-juices	
Blueberry juices	Squeezed blueberry juices	/category/squeezed-blueberry-juices	
Fruit juices	Clementine juices	/category/clementine-juices	
Fruit juices	Concentrated fruit juices	/category/concentrated-fruit-juices	
Concentrated fruit juices	Concentrated apple juices	/category/concentrated-apple-juices	
Concentrated fruit juices	Concentrated apricot juices	/category/concentrated-apricot-juices	
Concentrated fruit juices	Concentrated blueberry juices	/category/concentrated-blueberry-juices	
Concentrated fruit juices	Concentrated grape juices	/category/concentrated-grape-juices	
Concentrated fruit juices	Concentrated grapefruit juices	/category/concentrated-grapefruit-juices	
Concentrated fruit juices	Concentrated mango juices	/category/concentrated-mango-juices	
Concentrated fruit juices	Concentrated multifruit juices	/category/concentrated-multifruit-juices	
Concentrated fruit juices	Concentrated orange juices	/category/concentrated-orange-juices	
Concentrated fruit juices	Concentrated peach juices	/category/concentrated-peach-juices	
Concentrated fruit juices	Concentrated pear juices	/category/concentrated-pear-juices	
Concentrated fruit juices	Concentrated pineapple juices	/category/concentrated-pineapple-juices	
Concentrated fruit juices	Concentrated plum juices	/category/concentrated-plum-juices	
Concentrated fruit juices	Concentrated pomegranate juices	/category/concentrated-pomegranate-juices	
Concentrated fruit juices	Concentrated tangerine juices	/category/concentrated-tangerine-juices	
Fruit juices	Cranberry juice	/category/cranberry-juice	Q865448
Fruit juices	Grape juices	/category/grape-juices	Q1209756
Grape juices	Concentrated grape juices	/category/concentrated-grape-juices	
Grape juices	Squeezed grape juices	/category/squeezed-grape-juices	
