parent	category	uri	wiki
Sugars	Powdered sugars	/category/powdered-sugars	Q151070
Sugars	Rock candies	/category/rock-candies	Q849816
Sugars	Vanilla sugars	/category/vanilla-sugars	Q3492989
Sugars	Vanillin sugars	/category/vanillin-sugars	Q26883454
Sugars	fr:Sucres complets	/category/fr:sucres-complets	
Sugars	fr:Sucres en poudre	/category/fr:sucres-en-poudre	
Sugars	fr:Sucres gélifiant	/category/fr:sucres-gelifiant	Q1499717
Sugars	fr:Sucres mi-blancs	/category/fr:sucres-mi-blancs	
Sugars	fr:Sucres perlés	/category/fr:sucres-perles	Q914538
Sugars	fr:Vergeoises	/category/fr:vergeoises	Q3555843
	Fruit jams	/category/fruit-jams	
